date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:46:24	287/287	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Feb%202017%2018:46:26%20GMT	http://www.composingprograms.com/robots.txt		(from )
23:46:25	5761/5761	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/index.html	(from )
23:46:25	7210/7210	---M--	200	added ('OK')	text/css	etag:%22Q-jK7A%22	http://www.composingprograms.com/theme/css/cp.css	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/theme/css/cp.css	(from http://www.composingprograms.com/)
23:46:26	230/230	---M--	302	error ('Found')	text/html	date:Mon,%2027%20Feb%202017%2018:46:28%20GMT	http://www.composingprograms.com/.	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/.1.delayed	(from http://www.composingprograms.com/)
23:46:27	4101/4101	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/projects.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/projects.html	(from http://www.composingprograms.com/)
23:46:29	177/177	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/tutor.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/tutor.html	(from http://www.composingprograms.com/)
23:46:30	2714/2714	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/about.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/about.html	(from http://www.composingprograms.com/)
23:46:31	27080/27080	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/11-getting-started.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/11-getting-started.html	(from http://www.composingprograms.com/)
23:46:31	4450/4450	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/versions/v1/	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/versions/v1/index.html	(from http://www.composingprograms.com/)
23:46:32	42299/42299	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/12-elements-of-programming.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/12-elements-of-programming.html	(from http://www.composingprograms.com/)
23:46:33	114749/114749	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/13-defining-new-functions.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/13-defining-new-functions.html	(from http://www.composingprograms.com/)
23:46:36	16622/16622	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/14-designing-functions.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/14-designing-functions.html	(from http://www.composingprograms.com/)
23:46:37	57020/57020	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/15-control.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/15-control.html	(from http://www.composingprograms.com/)
23:46:39	593797/593797	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/16-higher-order-functions.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/16-higher-order-functions.html	(from http://www.composingprograms.com/)
23:46:40	160585/160585	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/17-recursive-functions.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/17-recursive-functions.html	(from http://www.composingprograms.com/)
23:46:41	17559/17559	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/21-introduction.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/21-introduction.html	(from http://www.composingprograms.com/)
23:46:42	38753/38753	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/22-data-abstraction.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/22-data-abstraction.html	(from http://www.composingprograms.com/)
23:46:43	168237/168237	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/23-sequences.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/23-sequences.html	(from http://www.composingprograms.com/)
23:46:45	290462/290462	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/24-mutable-data.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/24-mutable-data.html	(from http://www.composingprograms.com/)
23:46:45	68943/68943	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/25-object-oriented-programming.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/25-object-oriented-programming.html	(from http://www.composingprograms.com/)
23:46:46	35714/35714	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/26-implementing-classes-and-objects.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/26-implementing-classes-and-objects.html	(from http://www.composingprograms.com/)
23:46:47	81157/81157	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/27-object-abstraction.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/27-object-abstraction.html	(from http://www.composingprograms.com/)
23:46:48	115002/115002	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/28-efficiency.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/28-efficiency.html	(from http://www.composingprograms.com/)
23:46:49	77103/77103	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/29-recursive-objects.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/29-recursive-objects.html	(from http://www.composingprograms.com/)
23:46:50	9421/9421	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/31-introduction.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/31-introduction.html	(from http://www.composingprograms.com/)
23:46:51	27144/27144	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/32-functional-programming.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/32-functional-programming.html	(from http://www.composingprograms.com/)
23:46:52	23778/23778	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/33-exceptions.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/33-exceptions.html	(from http://www.composingprograms.com/)
23:46:54	39740/39740	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/34-interpreters-for-languages-with-combination.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/34-interpreters-for-languages-with-combination.html	(from http://www.composingprograms.com/)
23:46:54	23348/23348	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/35-interpreters-for-languages-with-abstraction.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/35-interpreters-for-languages-with-abstraction.html	(from http://www.composingprograms.com/)
23:46:55	9897/9897	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/41-introduction.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/41-introduction.html	(from http://www.composingprograms.com/)
23:46:56	68618/68618	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/42-implicit-sequences.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/42-implicit-sequences.html	(from http://www.composingprograms.com/)
23:46:57	79151/79151	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/43-declarative-programming.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/43-declarative-programming.html	(from http://www.composingprograms.com/)
23:46:58	22962/22962	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/44-logic-programming.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/44-logic-programming.html	(from http://www.composingprograms.com/)
23:46:59	36782/36782	---M-Z	200	added ('OK')	text/html	etag:%22Q-jK7A%22	http://www.composingprograms.com/pages/45-unification.html	C:/My%20Web%20Sites/Composing%20Programs/www.composingprograms.com/pages/45-unification.html	(from http://www.composingprograms.com/)
